train_end,test_end,base_auc,base_acc,base_dummy_acc,base_pos_rate,base_best_threshold,base_bal_acc,base_logloss,base_conf_threshold,base_mean_strat_ret,base_sharpe,base_trade_rate,base_avg_trade_ret,base_hit_rate,tcn_auc,tcn_acc,tcn_bal_acc,tcn_logloss,tcn_best_threshold,tcn_mean_strat_ret,tcn_sharpe,tcn_trade_rate,tcn_avg_trade_ret,tcn_hit_rate
2019-08-28,2019-10-30,0.48906680440771355,0.5075757575757576,0.6666666666666666,0.6666666666666666,0.5499999999999999,0.4791666666666667,0.7115930868321297,0.7,0.002373931075842329,0.9595875696710129,0.18434343434343434,0.012877763096350168,0.6712328767123288,0.485135445362718,0.5151515151515151,0.48863636363636365,0.6684529759378416,0.575,0.007326226842445646,2.0359300267975433,0.5757575757575758,0.012724499252668754,0.6578947368421053
2019-10-30,2020-01-01,0.5055771896244472,0.5193798449612403,0.7183462532299741,0.7183462532299741,0.575,0.5176721008514289,0.6748206530241209,0.7,0.0035727648602931427,1.6453806072878194,0.18863049095607234,0.018940547957992413,0.7397260273972602,0.5183816249752492,0.5142118863049095,0.5084977889248234,0.6417569354532798,0.575,0.007959345910476425,2.3599084233829153,0.5167958656330749,0.015401334336771884,0.725
2020-01-01,2020-03-04,0.49539163932087316,0.49206349206349204,0.5687830687830688,0.5687830687830688,0.575,0.4889427878442003,0.7970838447177441,0.7,-0.0014883257774701863,-0.25615801030048974,0.2804232804232804,-0.005307425885695573,0.5471698113207547,0.5604508489085461,0.5105820105820106,0.525995149094022,0.6871983761023156,0.6,0.004818813715031496,0.6030558053565245,0.3915343915343915,0.01230751070460747,0.6013513513513513
2020-03-04,2020-05-06,0.42728396757796394,0.44696969696969696,0.6338383838383839,0.6338383838383839,0.575,0.43413930484956725,0.9818898871923336,0.7,0.00017222924364208647,0.016607630411831383,0.3888888888888889,0.00044287519793678514,0.538961038961039,0.4129413380958923,0.4090909090909091,0.447946146448688,0.7814124726625195,0.575,0.0012016143957497946,0.13618584568549427,0.3409090909090909,0.0035247355608660647,0.562962962962963
2020-05-06,2020-07-08,0.5625461626267374,0.5038759689922481,0.7260981912144703,0.7260981912144703,0.6,0.5643590948767877,0.6949236245383387,0.7,0.005569678261944913,1.4174547334123926,0.165374677002584,0.03367914824019814,0.828125,0.5339421204592762,0.3359173126614987,0.5015779225139327,0.7019345782067591,0.6,0.0022480836457306028,1.4030729846400243,0.1343669250645995,0.016730930209571986,0.7307692307692307
2020-07-08,2020-09-09,0.5431240555021294,0.5277777777777778,0.6338383838383839,0.6338383838383839,0.575,0.5240967165819481,0.7107513715181695,0.7,0.007748934217187495,1.3834918696791954,0.255050505050505,0.030381959901051966,0.6732673267326733,0.5185052891880753,0.5151515151515151,0.5155928012089572,0.6931990835560037,0.575,0.011215852770194977,1.405941868376665,0.5025252525252525,0.022318983401996034,0.6482412060301508
2020-09-09,2020-11-11,0.5084981684981685,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.6,0.5183150183150182,0.7477551812646186,0.7,0.0012352885871532826,0.292399312740628,0.2419753086419753,0.0051050191611946875,0.47959183673469385,0.46109890109890117,0.4839506172839506,0.48443223443223443,0.7492605464273698,0.625,0.005208295313274421,0.9300810081589101,0.48641975308641977,0.010707409146579394,0.5025380710659898
2020-11-11,2021-01-13,0.5074092855533018,0.4894179894179894,0.5396825396825397,0.5396825396825397,0.575,0.4745605138607167,0.7389341454007652,0.7,0.0035451203987725294,0.9527477302997066,0.3148148148148148,0.011260970678453917,0.5462184873949579,0.4765889114266396,0.47619047619047616,0.4737153482082488,0.7289562106961632,0.575,0.00178502539464483,0.693426698481777,0.5291005291005291,0.003373697995878729,0.515
2021-01-13,2021-03-17,0.4124261943102523,0.4392764857881137,0.5348837209302325,0.5348837209302325,0.6,0.4370772946859903,0.8209806226166302,0.7,-9.074470524575045e-06,-0.002338168115308132,0.2997416020671835,-3.027431114664261e-05,0.4482758620689655,0.5856146001073537,0.5529715762273901,0.5491545893719807,0.6879587762573179,0.575,0.004810079683843171,0.8149955652075298,0.5581395348837209,0.00861805943355235,0.5787037037037037
2021-03-17,2021-05-19,0.5151946818613484,0.5404040404040404,0.5909090909090909,0.5909090909090909,0.5499999999999999,0.5284900284900285,0.7299809776786333,0.7,0.0019129522085386595,0.7213980558741774,0.17424242424242425,0.010978682240308828,0.5942028985507246,0.5091537406352222,0.4621212121212121,0.49548907882241217,0.6970445292775374,0.6,0.00457425295670714,1.321529823639812,0.31565656565656564,0.014491233366848221,0.584
2021-05-19,2021-07-21,0.4639235191525095,0.5038759689922481,0.7080103359173127,0.7080103359173127,0.575,0.48583747819908274,0.7114787873322477,0.7,0.003496979307056547,1.6259614986328161,0.22997416020671835,0.015205966200347011,0.6629213483146067,0.47842516633292426,0.5167958656330749,0.4923616045475099,0.6454368430335761,0.6,0.008280996236521973,2.6570680318542923,0.5555555555555556,0.014905793225739547,0.7023255813953488
2021-07-21,2021-09-22,0.5416709458765534,0.5328282828282829,0.5404040404040404,0.5404040404040404,0.575,0.521746944644141,0.7431009348947882,0.7,0.0015371681598580298,0.6563314123878596,0.3282828282828283,0.004682450702336768,0.5692307692307692,0.4856218547807333,0.5176767676767676,0.5097822738009654,0.7206864138635772,0.6,0.0029803672972814766,0.8025364380528937,0.5984848484848485,0.0049798542182424655,0.5485232067510548
2021-09-22,2021-11-24,0.3796502302478397,0.43703703703703706,0.6197530864197531,0.6197530864197531,0.575,0.3889765612873183,0.7837117639451988,0.7,0.0017843930643248866,0.5462260494896388,0.3111111111111111,0.005735549135329992,0.5317460317460317,0.4541573963884721,0.4691358024691358,0.4738448802193822,0.689213607345631,0.6,0.005485240161087949,1.0154149411416475,0.4740740740740741,0.011570428464794896,0.59375
2021-11-24,2022-01-26,0.5541162086632511,0.5105820105820106,0.5978835978835979,0.4021164021164021,0.575,0.532545412203074,0.7873114688265146,0.7,-0.0007623263819087605,-0.17856188895470862,0.29894179894179895,-0.002550082941252314,0.4690265486725664,0.34984862598975314,0.3968253968253968,0.4029459711224965,0.8187051346997153,0.6,-0.009375477068258989,-1.6186875038511883,0.5502645502645502,-0.017038126595201434,0.3173076923076923
2022-01-26,2022-03-30,0.4662385180257401,0.49242424242424243,0.5277777777777778,0.5277777777777778,0.575,0.4926822403602589,0.7992757239205248,0.7,0.004119960754897683,0.8326647026276044,0.2398989898989899,0.017173731146731396,0.5473684210526316,0.48005526699588064,0.4772727272727273,0.479735434843794,0.727932645977803,0.6,0.0020814423335695537,0.4143405998234232,0.45454545454545453,0.004579173133853018,0.5055555555555555
2022-03-30,2022-06-01,0.5645755305867666,0.5116279069767442,0.689922480620155,0.31007751937984496,0.575,0.5474250936329588,0.8571546605285202,0.7,-0.005290230044244804,-0.8933866074593941,0.31266149870801035,-0.016919991959692054,0.371900826446281,0.6743757802746567,0.5968992248062015,0.5931647940074907,0.7584038958904551,0.625,-0.004264612057450267,-0.6588336007674318,0.45478036175710596,-0.009377300376325302,0.3977272727272727
2022-06-01,2022-08-03,0.4500298572281635,0.4599483204134367,0.5633074935400517,0.5633074935400517,0.575,0.4461619890342544,0.7647661201698125,0.7,-0.00410366894501898,-0.8297842804674743,0.25839793281653745,-0.01588119881722345,0.5,0.4824113783182238,0.5116279069767442,0.5013435752673578,0.7217448463019509,0.575,0.0017960254196682903,0.23647296292110365,0.5813953488372093,0.0030891637218294593,0.5644444444444444
